animal_type,intake_year,intake_month,count
Cat,2014,1,335
Cat,2014,2,268
Cat,2014,3,353
Cat,2014,4,566
Cat,2014,5,901
Cat,2014,6,821
Cat,2014,7,880
Cat,2014,8,679
Cat,2014,9,704
Cat,2014,10,605
Cat,2014,11,482
Cat,2014,12,341
Cat,2015,1,297
Cat,2015,2,268
Cat,2015,3,340
Cat,2015,4,537
Cat,2015,5,1007
Cat,2015,6,1103
Cat,2015,7,777
Cat,2015,8,812
Cat,2015,9,754
Cat,2015,10,784
Cat,2015,11,488
Cat,2015,12,320
Cat,2016,1,304
Cat,2016,2,279
Cat,2016,3,332
Cat,2016,4,663
Cat,2016,5,919
Cat,2016,6,703
Cat,2016,7,571
Cat,2016,8,765
Cat,2016,9,646
Cat,2016,10,563
Cat,2016,11,463
Cat,2016,12,417
Cat,2017,1,337
Cat,2017,2,257
Cat,2017,3,352
Cat,2017,4,564
Cat,2017,5,914
Cat,2017,6,892
Cat,2017,7,665
Cat,2017,8,563
Cat,2017,9,652
Cat,2017,10,509
Cat,2017,11,416
Cat,2017,12,335
Dog,2014,1,876
Dog,2014,2,818
Dog,2014,3,894
Dog,2014,4,857
Dog,2014,5,966
Dog,2014,6,878
Dog,2014,7,924
Dog,2014,8,841
Dog,2014,9,917
Dog,2014,10,853
Dog,2014,11,847
Dog,2014,12,891
Dog,2015,1,865
Dog,2015,2,812
Dog,2015,3,856
Dog,2015,4,896
Dog,2015,5,988
Dog,2015,6,1013
Dog,2015,7,795
Dog,2015,8,815
Dog,2015,9,783
Dog,2015,10,852
Dog,2015,11,863
Dog,2015,12,776
Dog,2016,1,846
Dog,2016,2,809
Dog,2016,3,861
Dog,2016,4,811
Dog,2016,5,1020
Dog,2016,6,853
Dog,2016,7,760
Dog,2016,8,796
Dog,2016,9,786
Dog,2016,10,738
Dog,2016,11,809
Dog,2016,12,810
Dog,2017,1,823
Dog,2017,2,850
Dog,2017,3,828
Dog,2017,4,789
Dog,2017,5,893
Dog,2017,6,812
Dog,2017,7,833
Dog,2017,8,819
Dog,2017,9,934
Dog,2017,10,809
Dog,2017,11,703
Dog,2017,12,758
